card_id,disp_id,type,issued_datetime
10001,1234567890,Visa,20240101
10002,9876543210,Mastercard,20240202
10003,1111222233,American Express,20240303
10004,4444555566,Discover,20240404
10005,7777888899,JCB,20240505
10006,1234567890,Visa,20231224
10007,9876543210,Mastercard,20231113
10008,1111222233,American Express,20231010
10009,4444555566,Discover,20230909
10010,7777888899,JCB,20230808
10011,1234567890,Visa,20230707
10012,9876543210,Mastercard,20230606
10013,1111222233,American Express,20230505
10014,4444555566,Discover,20230404
10015,7777888899,JCB,20230303
10016,1234567890,Visa,20230202
10017,9876543210,Mastercard,20230101
10018,1111222233,American Express,20221224
10019,4444555566,Discover,20221113
10020,7777888899,JCB,20221010
